route_id,origin_location_id,destination_location_id,base_distance_km,base_cost_per_kg_km,average_transit_time_days_standard
35876-40407,LOC-IN-35876,LOC-IN-40407,1055,0.000364,9
05180-04631,LOC-IN-05180,LOC-IN-04631,1673,0.000807,6
25031-23343,LOC-IN-25031,LOC-IN-23343,1571,0.000333,2
47700-33398,LOC-IN-47700,LOC-IN-33398,2468,0.00025,10
40044-18569,LOC-IN-40044,LOC-IN-18569,1788,0.000745,7
30267-39202,LOC-IN-30267,LOC-IN-39202,448,0.000869,3
19241-11238,LOC-IN-19241,LOC-IN-11238,947,0.000299,3
09512-39779,LOC-IN-09512,LOC-IN-39779,2366,0.000435,9
27424-42151,LOC-IN-27424,LOC-IN-42151,2595,0.000846,1
49654-42497,LOC-IN-49654,LOC-IN-42497,888,0.00082,3
15237-35066,LOC-IN-15237,LOC-IN-35066,463,0.000669,10
42717-08920,LOC-IN-42717,LOC-IN-08920,2472,0.000947,3
13538-10373,LOC-IN-13538,LOC-IN-10373,2989,0.000725,7
42051-38990,LOC-IN-42051,LOC-IN-38990,1209,0.000195,4
14959-29507,LOC-IN-14959,LOC-IN-29507,2799,0.000515,1
10982-40673,LOC-IN-10982,LOC-IN-40673,1801,0.000307,5
20275-35838,LOC-IN-20275,LOC-IN-35838,649,0.000818,8
43287-13660,LOC-IN-43287,LOC-IN-13660,2176,0.000863,5
08784-02154,LOC-IN-08784,LOC-IN-02154,2219,0.000404,4
17319-12972,LOC-IN-17319,LOC-IN-12972,2832,0.000821,6
47563-35439,LOC-IN-47563,LOC-IN-35439,428,0.000721,3
39637-39802,LOC-IN-39637,LOC-IN-39802,1387,0.000812,4
07348-06360,LOC-IN-07348,LOC-IN-06360,2714,0.000946,6
42453-43670,LOC-IN-42453,LOC-IN-43670,1022,0.000787,8
08905-10752,LOC-IN-08905,LOC-IN-10752,2222,0.00018,10
05910-16905,LOC-IN-05910,LOC-IN-16905,725,0.000197,6
33525-37480,LOC-IN-33525,LOC-IN-37480,2431,0.000695,3
00536-21352,LOC-IN-00536,LOC-IN-21352,2605,0.000433,10
32980-38745,LOC-IN-32980,LOC-IN-38745,1215,0.000656,9
23638-11109,LOC-IN-23638,LOC-IN-11109,558,0.000803,8
09229-25160,LOC-IN-09229,LOC-IN-25160,2537,0.000702,8
20928-31290,LOC-IN-20928,LOC-IN-31290,431,0.000506,6
11458-31813,LOC-IN-11458,LOC-IN-31813,411,0.000144,6
23764-42466,LOC-IN-23764,LOC-IN-42466,2300,0.000374,2
18863-42359,LOC-IN-18863,LOC-IN-42359,2223,0.000347,6
41332-30141,LOC-IN-41332,LOC-IN-30141,2800,0.000551,3
36100-47785,LOC-IN-36100,LOC-IN-47785,241,0.00083,10
14673-22336,LOC-IN-14673,LOC-IN-22336,404,0.000146,4
34617-20067,LOC-IN-34617,LOC-IN-20067,734,0.000344,3
18054-32341,LOC-IN-18054,LOC-IN-32341,1746,0.000117,9
22254-17286,LOC-IN-22254,LOC-IN-17286,365,0.000678,7
00410-29685,LOC-IN-00410,LOC-IN-29685,401,0.000422,8
29396-12172,LOC-IN-29396,LOC-IN-12172,2075,0.000604,1
34167-08148,LOC-IN-34167,LOC-IN-08148,526,0.000391,3
07046-15502,LOC-IN-07046,LOC-IN-15502,2578,0.000934,3
12098-14306,LOC-IN-12098,LOC-IN-14306,2316,0.000394,6
07246-38119,LOC-IN-07246,LOC-IN-38119,2342,0.000688,6
42236-27482,LOC-IN-42236,LOC-IN-27482,231,0.000849,2
19293-08680,LOC-IN-19293,LOC-IN-08680,230,0.000934,8
26960-14666,LOC-IN-26960,LOC-IN-14666,2691,0.000953,5
10059-41871,LOC-IN-10059,LOC-IN-41871,1253,0.000242,9
45766-36014,LOC-IN-45766,LOC-IN-36014,2473,0.000834,6
13325-39275,LOC-IN-13325,LOC-IN-39275,1536,0.000797,9
27099-08673,LOC-IN-27099,LOC-IN-08673,1420,0.000159,6
20721-33196,LOC-IN-20721,LOC-IN-33196,1306,0.000841,9
45905-29790,LOC-IN-45905,LOC-IN-29790,1363,0.00026,4
44952-38120,LOC-IN-44952,LOC-IN-38120,1126,0.000164,4
45400-15548,LOC-IN-45400,LOC-IN-15548,2931,0.000726,9
24146-15186,LOC-IN-24146,LOC-IN-15186,2851,0.000237,8
47625-10285,LOC-IN-47625,LOC-IN-10285,2263,0.000105,1
44044-18530,LOC-IN-44044,LOC-IN-18530,1815,0.000309,5
04459-20106,LOC-IN-04459,LOC-IN-20106,2036,0.000505,10
35678-14196,LOC-IN-35678,LOC-IN-14196,2334,0.000858,3
10970-34661,LOC-IN-10970,LOC-IN-34661,1780,0.000354,1
48844-07123,LOC-IN-48844,LOC-IN-07123,2889,0.000673,1
22542-08717,LOC-IN-22542,LOC-IN-08717,2935,0.000384,8
33340-23145,LOC-IN-33340,LOC-IN-23145,303,0.000329,7
23699-08737,LOC-IN-23699,LOC-IN-08737,1917,0.00022,9
18044-08396,LOC-IN-18044,LOC-IN-08396,851,0.000499,10
47881-15725,LOC-IN-47881,LOC-IN-15725,2969,0.000823,6
44211-17956,LOC-IN-44211,LOC-IN-17956,2511,0.000472,7
08298-35363,LOC-IN-08298,LOC-IN-35363,2779,0.000568,8
19000-16246,LOC-IN-19000,LOC-IN-16246,2029,0.000182,10
12119-27102,LOC-IN-12119,LOC-IN-27102,559,0.000825,1
31244-28729,LOC-IN-31244,LOC-IN-28729,2524,0.000909,6
14023-23172,LOC-IN-14023,LOC-IN-23172,1410,0.000727,1
40376-41337,LOC-IN-40376,LOC-IN-41337,1620,0.000154,4
46256-10627,LOC-IN-46256,LOC-IN-10627,2558,0.000178,7
23174-14429,LOC-IN-23174,LOC-IN-14429,2012,0.000559,7
45914-46600,LOC-IN-45914,LOC-IN-46600,2454,0.000693,9
35303-21619,LOC-IN-35303,LOC-IN-21619,521,0.000896,1
43155-47282,LOC-IN-43155,LOC-IN-47282,1512,0.000782,4
07874-36231,LOC-IN-07874,LOC-IN-36231,2907,0.000307,8
17820-33880,LOC-IN-17820,LOC-IN-33880,2687,0.000656,1
47297-02359,LOC-IN-47297,LOC-IN-02359,858,0.000984,9
23909-31104,LOC-IN-23909,LOC-IN-31104,219,0.000389,6
15605-03215,LOC-IN-15605,LOC-IN-03215,769,0.000124,6
39254-36697,LOC-IN-39254,LOC-IN-36697,600,0.000205,7
12489-20949,LOC-IN-12489,LOC-IN-20949,1911,0.000535,7
16413-04524,LOC-IN-16413,LOC-IN-04524,1983,0.000883,8
30094-15092,LOC-IN-30094,LOC-IN-15092,825,0.00054,8
02268-22879,LOC-IN-02268,LOC-IN-22879,2994,0.000229,10
30693-13099,LOC-IN-30693,LOC-IN-13099,334,0.000918,1
39869-49382,LOC-IN-39869,LOC-IN-49382,1337,0.000772,4
02803-44270,LOC-IN-02803,LOC-IN-44270,2835,0.000117,5
32945-27624,LOC-IN-32945,LOC-IN-27624,510,0.00051,10
45021-34984,LOC-IN-45021,LOC-IN-34984,2409,0.000424,3
47851-11907,LOC-IN-47851,LOC-IN-11907,628,0.000526,10
12215-01449,LOC-IN-12215,LOC-IN-01449,2276,0.000857,1
40279-42148,LOC-IN-40279,LOC-IN-42148,1599,0.000927,6
49744-37009,LOC-IN-49744,LOC-IN-37009,2930,0.000456,4
40343-12576,LOC-IN-40343,LOC-IN-12576,1777,0.000685,1
26452-26463,LOC-IN-26452,LOC-IN-26463,2436,0.000348,10
34065-26387,LOC-IN-34065,LOC-IN-26387,124,0.000999,3
21275-15283,LOC-IN-21275,LOC-IN-15283,1140,0.000657,3
33125-16254,LOC-IN-33125,LOC-IN-16254,1888,0.000906,6
23405-22154,LOC-IN-23405,LOC-IN-22154,1421,0.000487,6
06832-11405,LOC-IN-06832,LOC-IN-11405,1442,0.000479,9
39064-02713,LOC-IN-39064,LOC-IN-02713,335,0.000602,5
27227-27209,LOC-IN-27227,LOC-IN-27209,2879,0.000805,3
19898-06125,LOC-IN-19898,LOC-IN-06125,2270,0.000132,10
35073-46274,LOC-IN-35073,LOC-IN-46274,632,0.000844,5
48558-18755,LOC-IN-48558,LOC-IN-18755,2462,0.000211,9
23702-09885,LOC-IN-23702,LOC-IN-09885,2874,0.000683,4
06136-02925,LOC-IN-06136,LOC-IN-02925,1561,0.000882,4
08079-42520,LOC-IN-08079,LOC-IN-42520,2143,0.000599,8
48118-49752,LOC-IN-48118,LOC-IN-49752,2056,0.000973,10
26214-25699,LOC-IN-26214,LOC-IN-25699,2924,0.000786,7
46896-49401,LOC-IN-46896,LOC-IN-49401,545,0.000193,5
21991-45193,LOC-IN-21991,LOC-IN-45193,399,0.000653,4
33534-18154,LOC-IN-33534,LOC-IN-18154,1075,0.000377,9
27691-09778,LOC-IN-27691,LOC-IN-09778,2498,0.00059,2
46424-31711,LOC-IN-46424,LOC-IN-31711,2246,0.0007,1
37701-02652,LOC-IN-37701,LOC-IN-02652,154,0.000455,2
38047-18886,LOC-IN-38047,LOC-IN-18886,2265,0.000556,9
02770-28638,LOC-IN-02770,LOC-IN-28638,1633,0.000279,7
09122-18899,LOC-IN-09122,LOC-IN-18899,895,0.000116,8
08195-11571,LOC-IN-08195,LOC-IN-11571,1507,0.000922,10
04160-34170,LOC-IN-04160,LOC-IN-34170,597,0.000262,6
49570-29451,LOC-IN-49570,LOC-IN-29451,1661,0.000588,7
31043-30230,LOC-IN-31043,LOC-IN-30230,517,0.000817,9
27287-15008,LOC-IN-27287,LOC-IN-15008,1088,0.000443,7
00940-35220,LOC-IN-00940,LOC-IN-35220,1150,0.000109,7
42697-35816,LOC-IN-42697,LOC-IN-35816,785,0.000612,10
00468-30608,LOC-IN-00468,LOC-IN-30608,130,0.000321,10
35724-43745,LOC-IN-35724,LOC-IN-43745,632,0.000757,6
36807-16064,LOC-IN-36807,LOC-IN-16064,2807,0.000971,7
23341-31219,LOC-IN-23341,LOC-IN-31219,2367,0.000709,3
32836-11727,LOC-IN-32836,LOC-IN-11727,1031,0.000688,3
29019-28026,LOC-IN-29019,LOC-IN-28026,257,0.000419,1
05486-16619,LOC-IN-05486,LOC-IN-16619,1061,0.000357,7
24425-16191,LOC-IN-24425,LOC-IN-16191,2845,0.000236,5
05455-20565,LOC-IN-05455,LOC-IN-20565,696,0.000494,6
42163-11720,LOC-IN-42163,LOC-IN-11720,1776,0.000165,10
32075-40988,LOC-IN-32075,LOC-IN-40988,1987,0.00013,2
38905-39422,LOC-IN-38905,LOC-IN-39422,1434,0.000324,9
44708-21772,LOC-IN-44708,LOC-IN-21772,758,0.0003,3
07504-38373,LOC-IN-07504,LOC-IN-38373,1385,0.000167,4
36319-02415,LOC-IN-36319,LOC-IN-02415,332,0.000427,4
24368-11188,LOC-IN-24368,LOC-IN-11188,2839,0.000108,9
29129-36851,LOC-IN-29129,LOC-IN-36851,320,0.000279,2
03785-20409,LOC-IN-03785,LOC-IN-20409,1375,0.000422,6
47782-24560,LOC-IN-47782,LOC-IN-24560,2697,0.000106,3
23160-33653,LOC-IN-23160,LOC-IN-33653,1966,0.000177,3
48698-44711,LOC-IN-48698,LOC-IN-44711,647,0.000609,2
14732-25349,LOC-IN-14732,LOC-IN-25349,592,0.000209,2
37683-29196,LOC-IN-37683,LOC-IN-29196,815,0.000562,4
48658-18098,LOC-IN-48658,LOC-IN-18098,2815,0.000945,1
29448-45906,LOC-IN-29448,LOC-IN-45906,1172,0.000507,5
03679-45722,LOC-IN-03679,LOC-IN-45722,1543,0.000285,3
40665-03598,LOC-IN-40665,LOC-IN-03598,2103,0.00092,6
07083-09170,LOC-IN-07083,LOC-IN-09170,133,0.000449,5
34081-00676,LOC-IN-34081,LOC-IN-00676,2705,0.000955,5
22448-00549,LOC-IN-22448,LOC-IN-00549,1191,0.000676,6
49427-22990,LOC-IN-49427,LOC-IN-22990,2602,0.000973,7
14093-42312,LOC-IN-14093,LOC-IN-42312,660,0.000891,4
30202-09092,LOC-IN-30202,LOC-IN-09092,955,0.000638,5
02316-47934,LOC-IN-02316,LOC-IN-47934,2805,0.000157,3
19811-46785,LOC-IN-19811,LOC-IN-46785,441,0.000588,2
01811-19972,LOC-IN-01811,LOC-IN-19972,2372,0.000144,3
04104-06960,LOC-IN-04104,LOC-IN-06960,1011,0.000772,2
24800-01079,LOC-IN-24800,LOC-IN-01079,1369,0.000924,10
49015-49325,LOC-IN-49015,LOC-IN-49325,979,0.000233,1
38558-23630,LOC-IN-38558,LOC-IN-23630,885,0.000122,1
29015-32470,LOC-IN-29015,LOC-IN-32470,163,0.000914,10
22654-26904,LOC-IN-22654,LOC-IN-26904,2344,0.000944,9
06358-23579,LOC-IN-06358,LOC-IN-23579,909,0.00094,10
30558-44185,LOC-IN-30558,LOC-IN-44185,2119,0.000451,6
25522-28055,LOC-IN-25522,LOC-IN-28055,1211,0.00092,7
48741-21145,LOC-IN-48741,LOC-IN-21145,1900,0.000582,10
42041-19469,LOC-IN-42041,LOC-IN-19469,2013,0.000814,4
26257-44644,LOC-IN-26257,LOC-IN-44644,2463,0.000832,1
39608-22695,LOC-IN-39608,LOC-IN-22695,1278,0.000947,1
39308-48495,LOC-IN-39308,LOC-IN-48495,1593,0.000163,3
01123-16684,LOC-IN-01123,LOC-IN-16684,1325,0.000629,10
45712-29683,LOC-IN-45712,LOC-IN-29683,2799,0.000644,2
15902-28698,LOC-IN-15902,LOC-IN-28698,1365,0.000526,6
07422-49573,LOC-IN-07422,LOC-IN-49573,515,0.000115,1
31555-23087,LOC-IN-31555,LOC-IN-23087,424,0.000384,3
47984-13933,LOC-IN-47984,LOC-IN-13933,2481,0.000802,5
48095-17968,LOC-IN-48095,LOC-IN-17968,2728,0.000591,5
49177-35004,LOC-IN-49177,LOC-IN-35004,2624,0.00093,8
33992-30500,LOC-IN-33992,LOC-IN-30500,1408,0.000856,10
12124-11501,LOC-IN-12124,LOC-IN-11501,1507,0.000142,9
06162-34489,LOC-IN-06162,LOC-IN-34489,2775,0.000548,5
10451-07456,LOC-IN-10451,LOC-IN-07456,2265,0.000937,10
26576-10092,LOC-IN-26576,LOC-IN-10092,2469,0.000621,4
02622-39446,LOC-IN-02622,LOC-IN-39446,1811,0.00085,1
15156-33601,LOC-IN-15156,LOC-IN-33601,1284,0.000924,6
05426-34388,LOC-IN-05426,LOC-IN-34388,638,0.000471,4
04656-07098,LOC-IN-04656,LOC-IN-07098,548,0.000877,5
19245-00886,LOC-IN-19245,LOC-IN-00886,2283,0.000474,4
07084-28391,LOC-IN-07084,LOC-IN-28391,2900,0.000235,1
10762-48138,LOC-IN-10762,LOC-IN-48138,1130,0.000655,6
33055-14141,LOC-IN-33055,LOC-IN-14141,536,0.000472,5
11155-01879,LOC-IN-11155,LOC-IN-01879,805,0.000687,4
44621-36300,LOC-IN-44621,LOC-IN-36300,691,0.000573,6
28216-28256,LOC-IN-28216,LOC-IN-28256,1510,0.000759,6
08406-49870,LOC-IN-08406,LOC-IN-49870,2460,0.000643,5
34068-32106,LOC-IN-34068,LOC-IN-32106,1079,0.000281,8
10262-49265,LOC-IN-10262,LOC-IN-49265,2839,0.00025,5
13397-19491,LOC-IN-13397,LOC-IN-19491,2726,0.00042,2
10363-07942,LOC-IN-10363,LOC-IN-07942,2858,0.000625,5
10745-37603,LOC-IN-10745,LOC-IN-37603,1589,0.000749,6
42463-34734,LOC-IN-42463,LOC-IN-34734,2481,0.000995,9
31698-12742,LOC-IN-31698,LOC-IN-12742,2294,0.000245,7
16703-43055,LOC-IN-16703,LOC-IN-43055,2850,0.000209,4
24649-20571,LOC-IN-24649,LOC-IN-20571,2828,0.000889,3
46792-20871,LOC-IN-46792,LOC-IN-20871,1301,0.000175,5
02099-21503,LOC-IN-02099,LOC-IN-21503,1475,0.000203,9
04943-06521,LOC-IN-04943,LOC-IN-06521,2988,0.000309,6
16278-49026,LOC-IN-16278,LOC-IN-49026,1613,0.000227,9
36898-39735,LOC-IN-36898,LOC-IN-39735,1305,0.000973,10
06724-13644,LOC-IN-06724,LOC-IN-13644,1208,0.000211,10
35190-04260,LOC-IN-35190,LOC-IN-04260,1291,0.000686,4
06215-05305,LOC-IN-06215,LOC-IN-05305,1918,0.000266,8
44135-08596,LOC-IN-44135,LOC-IN-08596,1486,0.000158,9
13695-01748,LOC-IN-13695,LOC-IN-01748,2665,0.00075,5
07965-22821,LOC-IN-07965,LOC-IN-22821,488,0.000549,4
28607-27366,LOC-IN-28607,LOC-IN-27366,1917,0.000607,5
45109-09457,LOC-IN-45109,LOC-IN-09457,484,0.000622,7
05132-05356,LOC-IN-05132,LOC-IN-05356,1821,0.000517,3
11850-32658,LOC-IN-11850,LOC-IN-32658,1974,0.000534,3
48151-10733,LOC-IN-48151,LOC-IN-10733,1104,0.000338,10
22719-05245,LOC-IN-22719,LOC-IN-05245,1471,0.000211,8
30852-12703,LOC-IN-30852,LOC-IN-12703,1883,0.000846,9
30686-35837,LOC-IN-30686,LOC-IN-35837,416,0.000475,8
04530-23094,LOC-IN-04530,LOC-IN-23094,453,0.000137,3
33193-36577,LOC-IN-33193,LOC-IN-36577,2356,0.000959,6
19200-03231,LOC-IN-19200,LOC-IN-03231,128,0.000109,4
49413-08487,LOC-IN-49413,LOC-IN-08487,1469,0.0002,7
43362-26766,LOC-IN-43362,LOC-IN-26766,2984,0.000561,1
15083-29708,LOC-IN-15083,LOC-IN-29708,2334,0.00058,9
12850-07117,LOC-IN-12850,LOC-IN-07117,1743,0.000372,2
02662-01296,LOC-IN-02662,LOC-IN-01296,2341,0.000309,7
09984-28516,LOC-IN-09984,LOC-IN-28516,246,0.000945,4
31202-34737,LOC-IN-31202,LOC-IN-34737,453,0.000158,2
23419-00019,LOC-IN-23419,LOC-IN-00019,1753,0.000951,1
44097-19366,LOC-IN-44097,LOC-IN-19366,113,0.000272,1
14869-22864,LOC-IN-14869,LOC-IN-22864,374,0.000998,10
31067-17554,LOC-IN-31067,LOC-IN-17554,976,0.000732,4
13641-26267,LOC-IN-13641,LOC-IN-26267,2973,0.000356,7
12969-36539,LOC-IN-12969,LOC-IN-36539,256,0.000123,3
03246-42416,LOC-IN-03246,LOC-IN-42416,2211,0.000384,7
47920-06235,LOC-IN-47920,LOC-IN-06235,146,0.000545,5
11826-26789,LOC-IN-11826,LOC-IN-26789,2382,0.00037,9
35719-42898,LOC-IN-35719,LOC-IN-42898,1833,0.000648,7
42256-05294,LOC-IN-42256,LOC-IN-05294,602,0.000151,2
14755-37271,LOC-IN-14755,LOC-IN-37271,318,0.000484,5
45657-04433,LOC-IN-45657,LOC-IN-04433,766,0.000897,1
08914-14610,LOC-IN-08914,LOC-IN-14610,2521,0.000688,1
02835-28418,LOC-IN-02835,LOC-IN-28418,693,0.000313,7
49203-26735,LOC-IN-49203,LOC-IN-26735,1723,0.000638,10
12582-12230,LOC-IN-12582,LOC-IN-12230,1093,0.000991,3
49831-20609,LOC-IN-49831,LOC-IN-20609,1753,0.0009,3
32800-28662,LOC-IN-32800,LOC-IN-28662,1579,0.00044,10
49738-37221,LOC-IN-49738,LOC-IN-37221,1006,0.000792,5
24975-39412,LOC-IN-24975,LOC-IN-39412,2053,0.000182,10
40870-26478,LOC-IN-40870,LOC-IN-26478,2245,0.000713,1
37135-10227,LOC-IN-37135,LOC-IN-10227,758,0.000386,5
13244-24126,LOC-IN-13244,LOC-IN-24126,2722,0.000673,3
30479-19959,LOC-IN-30479,LOC-IN-19959,1002,0.000558,5
28245-12927,LOC-IN-28245,LOC-IN-12927,2878,0.000417,2
29449-24940,LOC-IN-29449,LOC-IN-24940,739,0.000702,10
40381-41361,LOC-IN-40381,LOC-IN-41361,2512,0.000774,5
47047-36252,LOC-IN-47047,LOC-IN-36252,450,0.000725,7
43775-46968,LOC-IN-43775,LOC-IN-46968,1470,0.000714,5
44841-47401,LOC-IN-44841,LOC-IN-47401,1951,0.000773,7
49482-35795,LOC-IN-49482,LOC-IN-35795,2425,0.000706,6
26847-36771,LOC-IN-26847,LOC-IN-36771,496,0.000734,1
42683-40026,LOC-IN-42683,LOC-IN-40026,2680,0.000675,8
34580-29188,LOC-IN-34580,LOC-IN-29188,154,0.000244,10
23673-13738,LOC-IN-23673,LOC-IN-13738,2428,0.000873,8
37785-34496,LOC-IN-37785,LOC-IN-34496,2884,0.000248,8
03486-22286,LOC-IN-03486,LOC-IN-22286,270,0.000168,4
49773-30701,LOC-IN-49773,LOC-IN-30701,2852,0.000263,10
29158-43103,LOC-IN-29158,LOC-IN-43103,420,0.000873,6
23236-22956,LOC-IN-23236,LOC-IN-22956,1084,0.000225,4
40661-16531,LOC-IN-40661,LOC-IN-16531,1358,0.000638,9
20242-47101,LOC-IN-20242,LOC-IN-47101,1984,0.000446,10
17008-42252,LOC-IN-17008,LOC-IN-42252,243,0.000943,2
16311-25551,LOC-IN-16311,LOC-IN-25551,1553,0.000113,7
40789-35152,LOC-IN-40789,LOC-IN-35152,943,0.000371,3
02881-20107,LOC-IN-02881,LOC-IN-20107,2525,0.000837,9
04830-05390,LOC-IN-04830,LOC-IN-05390,1774,0.000309,9
19639-19314,LOC-IN-19639,LOC-IN-19314,1367,0.000937,3
06135-10564,LOC-IN-06135,LOC-IN-10564,1080,0.000689,6
01810-32160,LOC-IN-01810,LOC-IN-32160,630,0.000679,10
41303-40335,LOC-IN-41303,LOC-IN-40335,2621,0.000239,7
38568-32350,LOC-IN-38568,LOC-IN-32350,1510,0.000168,10
33167-02291,LOC-IN-33167,LOC-IN-02291,2076,0.00071,5
37178-38072,LOC-IN-37178,LOC-IN-38072,1608,0.00038,10
13190-45981,LOC-IN-13190,LOC-IN-45981,1604,0.000339,4
46587-21032,LOC-IN-46587,LOC-IN-21032,2650,0.000114,6
28662-36131,LOC-IN-28662,LOC-IN-36131,2304,0.000676,9
08029-17631,LOC-IN-08029,LOC-IN-17631,1657,0.000127,10
28412-03885,LOC-IN-28412,LOC-IN-03885,125,0.000603,3
39185-23443,LOC-IN-39185,LOC-IN-23443,2966,0.000963,7
43576-04481,LOC-IN-43576,LOC-IN-04481,1133,0.000831,6
26843-30531,LOC-IN-26843,LOC-IN-30531,875,0.000604,2
44506-49478,LOC-IN-44506,LOC-IN-49478,620,0.000178,10
44961-09260,LOC-IN-44961,LOC-IN-09260,1581,0.000164,8
04338-48642,LOC-IN-04338,LOC-IN-48642,2707,0.00061,4
38517-00043,LOC-IN-38517,LOC-IN-00043,2888,0.000276,4
15597-09629,LOC-IN-15597,LOC-IN-09629,452,0.000292,8
17772-11036,LOC-IN-17772,LOC-IN-11036,671,0.000922,1
26269-43165,LOC-IN-26269,LOC-IN-43165,1907,0.000448,7
25766-15291,LOC-IN-25766,LOC-IN-15291,2832,0.000404,3
35383-31938,LOC-IN-35383,LOC-IN-31938,1663,0.000588,10
06785-22227,LOC-IN-06785,LOC-IN-22227,413,0.000228,8
42460-22884,LOC-IN-42460,LOC-IN-22884,955,0.000345,7
43947-45265,LOC-IN-43947,LOC-IN-45265,1021,0.000599,7
19862-33178,LOC-IN-19862,LOC-IN-33178,532,0.000202,10
00325-08295,LOC-IN-00325,LOC-IN-08295,1874,0.000425,2
48067-05537,LOC-IN-48067,LOC-IN-05537,382,0.000625,6
02289-47311,LOC-IN-02289,LOC-IN-47311,2091,0.000761,3
18266-43897,LOC-IN-18266,LOC-IN-43897,599,0.000345,4
02771-25481,LOC-IN-02771,LOC-IN-25481,439,0.000609,3
31404-45392,LOC-IN-31404,LOC-IN-45392,1392,0.00076,8
06240-29522,LOC-IN-06240,LOC-IN-29522,2929,0.000468,8
46357-14426,LOC-IN-46357,LOC-IN-14426,107,0.000224,2
02789-15148,LOC-IN-02789,LOC-IN-15148,2522,0.000884,6
16160-04533,LOC-IN-16160,LOC-IN-04533,1919,0.000889,3
23446-19226,LOC-IN-23446,LOC-IN-19226,789,0.000764,10
11948-24348,LOC-IN-11948,LOC-IN-24348,1529,0.00027,4
44312-07467,LOC-IN-44312,LOC-IN-07467,1886,0.000614,8
30713-12865,LOC-IN-30713,LOC-IN-12865,2681,0.00099,6
05254-00741,LOC-IN-05254,LOC-IN-00741,1052,0.000679,3
04910-06554,LOC-IN-04910,LOC-IN-06554,2090,0.000373,1
45949-07828,LOC-IN-45949,LOC-IN-07828,2801,0.000806,3
37227-00069,LOC-IN-37227,LOC-IN-00069,2436,0.000947,1
05130-35666,LOC-IN-05130,LOC-IN-35666,1253,0.0006,7
18475-01852,LOC-IN-18475,LOC-IN-01852,1778,0.000857,1
27003-34344,LOC-IN-27003,LOC-IN-34344,2721,0.000664,1
32507-25611,LOC-IN-32507,LOC-IN-25611,2435,0.000319,10
42572-09190,LOC-IN-42572,LOC-IN-09190,1000,0.000326,10
05432-49001,LOC-IN-05432,LOC-IN-49001,1763,0.000132,1
28243-31515,LOC-IN-28243,LOC-IN-31515,2255,0.000258,9
29100-15420,LOC-IN-29100,LOC-IN-15420,1170,0.000402,8
03380-37535,LOC-IN-03380,LOC-IN-37535,480,0.000495,9
39982-27782,LOC-IN-39982,LOC-IN-27782,2771,0.000485,4
40575-15129,LOC-IN-40575,LOC-IN-15129,580,0.000841,6
09385-40907,LOC-IN-09385,LOC-IN-40907,2207,0.000953,9
01657-13512,LOC-IN-01657,LOC-IN-13512,1985,0.000742,9
35990-31885,LOC-IN-35990,LOC-IN-31885,236,0.000988,2
22889-18443,LOC-IN-22889,LOC-IN-18443,2620,0.000549,7
16980-11494,LOC-IN-16980,LOC-IN-11494,2307,0.000621,7
15933-15041,LOC-IN-15933,LOC-IN-15041,661,0.000532,2
46246-22262,LOC-IN-46246,LOC-IN-22262,1261,0.000229,2
32194-23046,LOC-IN-32194,LOC-IN-23046,1526,0.00043,9
06165-32470,LOC-IN-06165,LOC-IN-32470,965,0.000543,2
01050-30069,LOC-IN-01050,LOC-IN-30069,1851,0.000277,7
03813-07620,LOC-IN-03813,LOC-IN-07620,2493,0.00015,9
32771-47353,LOC-IN-32771,LOC-IN-47353,2201,0.000455,8
24697-22691,LOC-IN-24697,LOC-IN-22691,1959,0.00089,10
45552-28038,LOC-IN-45552,LOC-IN-28038,2991,0.000882,9
47986-47259,LOC-IN-47986,LOC-IN-47259,775,0.00053,8
20498-09068,LOC-IN-20498,LOC-IN-09068,1013,0.000836,8
07378-48357,LOC-IN-07378,LOC-IN-48357,1833,0.000671,3
46848-32039,LOC-IN-46848,LOC-IN-32039,2078,0.000591,8
25026-13813,LOC-IN-25026,LOC-IN-13813,640,0.00012,4
13475-49674,LOC-IN-13475,LOC-IN-49674,2185,0.000466,10
22024-29760,LOC-IN-22024,LOC-IN-29760,2027,0.000482,2
34352-41254,LOC-IN-34352,LOC-IN-41254,811,0.000979,5
15743-34428,LOC-IN-15743,LOC-IN-34428,1283,0.000581,9
36464-34107,LOC-IN-36464,LOC-IN-34107,1933,0.00046,7
26294-14282,LOC-IN-26294,LOC-IN-14282,1491,0.000268,9
27410-18794,LOC-IN-27410,LOC-IN-18794,643,0.000459,3
07364-26376,LOC-IN-07364,LOC-IN-26376,179,0.000294,6
46442-03029,LOC-IN-46442,LOC-IN-03029,382,0.000827,10
08990-00947,LOC-IN-08990,LOC-IN-00947,992,0.000165,9
02271-38068,LOC-IN-02271,LOC-IN-38068,910,0.000839,7
19734-27870,LOC-IN-19734,LOC-IN-27870,1651,0.000229,9
25987-38161,LOC-IN-25987,LOC-IN-38161,1116,0.000771,7
29069-19278,LOC-IN-29069,LOC-IN-19278,304,0.000665,2
20973-23521,LOC-IN-20973,LOC-IN-23521,186,0.000116,8
23927-31076,LOC-IN-23927,LOC-IN-31076,742,0.000662,4
44238-45500,LOC-IN-44238,LOC-IN-45500,2647,0.000386,5
03593-18807,LOC-IN-03593,LOC-IN-18807,2482,0.000566,7
44665-11656,LOC-IN-44665,LOC-IN-11656,2413,0.000295,6
